Hàng,Thứ tự,Dạng Layout,URL,Tiêu đề,Grid Size,Ghi chú
61,68001,3_articles,https://www.sermitsiaq.ag/samfund/fortrostningsfuldt-og-habefuldt-at-der-kommer-dialog-vi-ma-se-om-der-kan-findes-losning-pa-bekymring/2330624,Fortrøstningsfuldt og håbefuldt at der kommer dialog – vi må se om der kan findes løsning på bekymring,4,
61,68002,3_articles,https://www.sermitsiaq.ag/samfund/se-billederne-kom-med-bag-kulisserne-ved-historisk-mode/2330481,Se billederne: Kom med bag kulisserne ved historisk møde,4,
62,69000,2_articles,https://www.sermitsiaq.ag/samfund/demonstration-i-nuuk-mod-usas-planer/2330522,Demonstration i Nuuk mod USA's planer om annektering,6,
62,69001,2_articles,https://www.sermitsiaq.ag/samfund/kalaallit-lad-os-hejse-vores-flag-pa-vores-fjelde/2330349,"– Kalaallit, lad os hejse vores flag på vores fjelde!",6,
63,70000,1_full,https://www.sermitsiaq.ag/samfund/to-maend-tiltalt-for-forsog-pa-manddrab/2329490,To mænd tiltalt for forsøg på manddrab,12,
64,71000,2_articles,https://www.sermitsiaq.ag/samfund/torsdagens-atlantflyvning-er-aflyst/2330541,Torsdagens atlantflyvning er aflyst,6,
64,71001,2_articles,https://www.sermitsiaq.ag/samfund/vivian-motzfeldt-efter-modet-vi-har-fastslaet-at-usa-skal-respektere-landegraenser/2330372,Vivian Motzfeldt efter mødet: Vi har fastslået at USA skal respektere landegrænser,6,
65,72000,2_articles,https://www.sermitsiaq.ag/samfund/trump-fastholder-onske-om-gronland/2330441,Trump fastholder ønske om Grønland,6,
65,72001,2_articles,https://www.sermitsiaq.ag/samfund/flere-lande-sender-forsvarspersonale-til-gronland/2330461,Flere lande sender forsvarspersonale til Grønland,6,
66,73000,2_articles,https://www.sermitsiaq.ag/samfund/pressemode-om-modet-i-usa/2330300,Motzfeldt og Løkke: Vi er fortsat uenige med USA,6,
66,73001,2_articles,https://www.sermitsiaq.ag/samfund/mute-b-egede-holder-pressemode-i-nuuk/2330382,Múte B. Egede: Vi har igangsat dialogen,6,
67,74000,1_full,https://www.sermitsiaq.ag/samfund/se-billeder-flager-for-solidaritet-og-sammenhold/2329979,Se billeder: Flager for solidaritet og sammenhold,12,
68,75000,3_articles,https://www.sermitsiaq.ag/samfund/forsker-det-her-skal-man-holde-oje-med-under-pressemode-efter-modet/2330060,Forsker: Det her skal man holde øje med under pressemøde efter mødet,4,
68,75001,3_articles,https://www.sermitsiaq.ag/samfund/frankrig-saetter-dato-pa-abning-af-konsulat-i-nuuk/2329666,Frankrig sætter dato på åbning af konsulat i Nuuk,4,
68,75002,3_articles,https://www.sermitsiaq.ag/samfund/en-sejr-i-selv-vil-vaere-at-der-kommer-nyt-mode/2329940,"– En sejr vil være, at der kommer et nyt møde",4,
69,76000,1_full,https://www.sermitsiaq.ag/samfund/jukku-hejser-erfalasorput-pa-ukkusissat-i-frustration-over-den-politiske-situation/2330051,Jukku hejser Erfalasorput på Ukkusissat i frustration over den politiske situation,12,
